DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Madagascar vs Africa
COLOR	#000000
LEGEND_TITLE	Origin
LEGEND_SHAPES	1	1
LEGEND_COLORS	#c0392b	#95a5a6
LEGEND_LABELS	Madagascar	Other Africa
DATA
EPI2044740|HA|A/chicken/South_Africa/654182/2020|EPI_ISL_12869980|A_/_H6N2	#95a5a6
EPI2044751|HA|A/ostrich/South_Africa/644344/2020|EPI_ISL_12869982|A_/_H6N2	#95a5a6
EPI2044835|HA|A/ostrich/South_Africa/647367/2020|EPI_ISL_12869983|A_/_H6N2	#95a5a6
EPI1890287|HA|A/teal/Egypt/MBD1566C/2018|EPI_ISL_4031376|A_/_H6N2	#95a5a6
EPI1890279|HA|A/teal/Egypt/MBD1556OP/2018|EPI_ISL_4031375|A_/_H6N2	#95a5a6
EPI3879537|HA|A/duck/Madagascar/82059/2024|EPI_ISL_19704266|A_/_H6N2	#c0392b
EPI3748432|HA|A/duck/Madagascar/81836/2024|EPI_ISL_19638439|A_/_H6N2	#c0392b
EPI3748355|HA|A/chicken/Madagascar/80773/2024|EPI_ISL_19638428|A_/_H6N2	#c0392b
EPI3748378|HA|A/duck/Madagascar/80791/2024|EPI_ISL_19638431|A_/_H6N2	#c0392b
EPI3748418|HA|A/duck/Madagascar/81494/2024|EPI_ISL_19638437|A_/_H6N2	#c0392b
EPI3748426|HA|A/duck/Madagascar/81833/2024|EPI_ISL_19638438|A_/_H6N2	#c0392b
EPI3748362|HA|A/chicken/Madagascar/80774/2024|EPI_ISL_19638429|A_/_H6N2	#c0392b
EPI3748370|HA|A/duck/Madagascar/80788/2024|EPI_ISL_19638430|A_/_H6N2	#c0392b
EPI3748411|HA|A/duck/Madagascar/81490/2024|EPI_ISL_19638436|A_/_H6N2	#c0392b
EPI5132310|HA|A/duck/Madagascar/78273/2025|EPI_ISL_20360498|A_/_H6N2	#c0392b
EPI5132318|HA|A/goose/Madagascar/78289/2025|EPI_ISL_20360499|A_/_H6N2	#c0392b
EPI5132297|HA|A/duck/Madagascar/78071/2025|EPI_ISL_20360496|A_/_H6N2	#c0392b
EPI5132289|HA|A/duck/Madagascar/78070/2025|EPI_ISL_20360495|A_/_H6N2	#c0392b
EPI4576298|HA|A/duck/Madagascar/73453/2025|EPI_ISL_20090042|A_/_H6N2	#c0392b
EPI4576305|HA|A/duck/Madagascar/73470/2025|EPI_ISL_20090043|A_/_H6N2	#c0392b
EPI4576313|HA|A/duck/Madagascar/73777/2025|EPI_ISL_20090044|A_/_H6N2	#c0392b
EPI4576324|HA|A/duck/Madagascar/73790/2025|EPI_ISL_20090046|A_/_H6N2	#c0392b
EPI4576292|HA|A/duck/Madagascar/73447/2025|EPI_ISL_20090041|A_/_H6N2	#c0392b
EPI4576318|HA|A/duck/Madagascar/73785/2025|EPI_ISL_20090045|A_/_H6N2	#c0392b
EPI4576250|HA|A/duck/Madagascar/72065/2025|EPI_ISL_20090034|A_/_H6N2	#c0392b
EPI4576265|HA|A/goose/Madagascar/72080/2025|EPI_ISL_20090036|A_/_H6N2	#c0392b
EPI5132302|HA|A/duck/Madagascar/78271/2025|EPI_ISL_20360497|A_/_H6N2	#c0392b
EPI5132251|HA|A/duck/Madagascar/77877/2025|EPI_ISL_20360490|A_/_H6N2	#c0392b
